repo_file	action	old_url	new_url
ships/ss-nieuw-amsterdam.html	replace	https://www.nautilusint.org/en/news-insight/ships-of-the-past/2021/april/nieuw-amsterdam/	https://web.archive.org/web/20251212170016/https://www.nautilusint.org/en/news-insight/ships-of-the-past/2021/april/nieuw-amsterdam/
ships/ss-nieuw-amsterdam.html	replace	https://ssmaritime.com/nieuwamsterdam-ii.htm	https://web.archive.org/web/20260206061332/http://ssmaritime.com/nieuwamsterdam-II.htm
ships/ss-nomadic.html	remove_link	https://www.nomadicpreservationtrust.org/	
ships/ss-oriana.html	remove_link	https://www.ssmaritime.com/oriana.htm	
ships/ss-orion.html	replace	https://ssmaritime.com/orion.htm	https://web.archive.org/web/20250814123617/http://ssmaritime.com/orion.htm
ships/ss-otranto.html	replace	https://www.norwayheritage.com/p_ship.asp?sh=otran	https://www.norwayheritage.com/
ships/ss-paris.html	remove_link	https://ssmaritime.com/SS-Paris.htm	
ships/ss-pasteur.html	replace	https://faktaomfartyg.se/pasteur_1939.htm	https://web.archive.org/web/20250120132503/http://www.faktaomfartyg.se/pasteur_1939.htm
ships/ss-pennland.html	replace	https://www.nautilusint.org/en/news-insight/ships-of-the-past/2021/april/pennland/	https://web.archive.org/web/20260106000811/https://www.nautilusint.org/en/news-insight/ships-of-the-past/2021/april/pennland/
ships/ss-raffaello-1965.html	replace	https://ssmaritime.com/italia-lines.htm	https://web.archive.org/web/20251204201205/http://ssmaritime.com/italia-lines.htm
ships/ss-rex.html	replace	https://ssmaritime.com/Blue-Riband.htm	https://web.archive.org/web/20250428025254/http://ssmaritime.com/Blue-Riband.htm
ships/ss-rijndam-1901.html	replace	https://www.theyard.info/ships/ship.asp?entryid=336	https://www.theyard.info/
ships/ss-rotterdam-1959.html	remove_link	https://ssmaritime.com/Rotterdam-V-P1.htm	
ships/ss-rotterdam-1959.html	remove_link	https://ssmaritime.com/Rotterdam-V-P7.htm	
ships/ss-scharnhorst.html	remove_link	https://www.germanliners.com/scharnhorst/	
ships/ss-scharnhorst.html	remove_link	https://www.ddghansa-shipsphotos.de/scharnhorst100.htm	
ships/ss-veendam.html	replace	https://www.norwayheritage.com/p_ship.asp?sh=veend	https://www.norwayheritage.com/
ships/ss-washington.html	remove_link	https://www.usmm.org/washington.html	
ships/ss-zeeland.html	replace	https://www.norwayheritage.com/p_ship.asp?sh=zeela	https://www.norwayheritage.com/
this-day-in-ocean-liner-history.html	replace	https://oceanliners.net/'%20+%20escapeHTML(event.relatedUrl)%20+%20'	https://oceanliners.net/
ships/ss-leviathan-timeline.html	remove_link	https://www.history.navy.mil/	
